Date,TQQQ,SQQQ,UVXY,TLT
1999-04-07,81.72095,210225755.3689,2.8791963568070613e+20,33.3591
1999-04-08,83.63468,205353233.98776,2.8174701002779266e+20,33.66911
1999-04-09,85.15391,201671155.41228,2.6444242482892495e+20,33.57613
1999-04-12,83.4008,205871039.14952,2.655143458246266e+20,33.63814
1999-04-13,79.98025,214362981.25049,2.78192465614194e+20,33.42109
1999-04-14,71.71923,236555657.94705,3.168253735363353e+20,33.42109
1999-04-15,74.61608,227058558.28415,2.953705261575825e+20,33.3591
1999-04-16,68.05061,247090186.4404,2.9275650886172816e+20,33.17305
1999-04-19,58.44644,282019730.03948,3.3701836304026934e+20,33.29709
1999-04-20,62.40473,262982474.95878,3.078824281687677e+20,33.3901
1999-04-21,71.61785,224217344.70308,2.741734027771329e+20,33.3591
1999-04-22,77.39755,206175171.31743,2.6008870810269608e+20,33.04906
1999-04-23,80.42101,198170500.58194,2.60690179109465e+20,33.08009
1999-04-26,85.93843,184628109.62345,2.7210011812297992e+20,33.17305
1999-04-27,81.94952,193243741.95112,2.6725378853283794e+20,33.26609
1999-04-28,73.50236,213210949.67487,2.8323747801978955e+20,33.14208
1999-04-29,71.67672,218561094.4568,2.9275385386517378e+20,33.3591
1999-04-30,73.02883,214496031.53777,2.9088638000547732e+20,32.98533
1999-05-03,71.84848,218019366.21943,2.7284472039529123e+20,33.01648
1999-05-04,68.41421,228492606.06539,2.958545907592708e+20,32.82959
1999-05-05,74.60482,207869687.62697,2.8634443478258388e+20,32.89186
1999-05-06,66.44055,230668347.0845,3.2271284892733604e+20,32.54928
1999-05-07,69.27485,220882721.40227,2.837701078621081e+20,32.45582
1999-05-10,71.32951,214383985.81248,3.029404825897136e+20,32.58041
1999-05-11,74.6736,204384145.34744,2.837584641321309e+20,32.39354
1999-05-12,79.2789,191828399.78721,2.9025311915368825e+20,32.45582
1999-05-13,74.82247,202658454.93403,2.6973443056814336e+20,32.79842
1999-05-14,70.53735,214314935.88002,2.9760839707452015e+20,32.23779
1999-05-17,74.31285,202900177.84085,3.025123243011013e+20,32.26894
1999-05-18,73.28801,205745808.70321,3.000711827093184e+20,32.26894
1999-05-19,76.30429,197323537.58776,2.619853531476227e+20,32.48697
1999-05-20,69.9813,213722717.27835,2.504440072074649e+20,32.36238
1999-05-21,68.01501,219778229.12608,2.4777681153226775e+20,32.51808
1999-05-24,62.80009,236682276.90002,2.9509704938971493e+20,32.51808
1999-05-25,56.60295,260096552.65572,3.135529418884448e+20,32.54928
1999-05-26,61.31571,238505271.35325,2.897215572525387e+20,32.39354
1999-05-27,61.12016,239326038.69099,2.963705222602327e+20,32.23779
1999-05-28,64.11677,227647707.42929,2.5114580441805272e+20,32.43189
1999-06-01,59.81423,242979719.8383,2.676445479610156e+20,32.08753
1999-06-02,62.82079,230819526.53498,2.595967206715993e+20,32.08753
1999-06-03,60.11813,240806151.82266,2.5763816390892762e+20,32.05624
1999-06-04,65.6178,218834232.81362,2.149839427607147e+20,32.02493
1999-06-07,69.68567,205320673.59512,2.183023445657843e+20,32.02493
1999-06-08,64.42017,220883530.2262,2.2008546750969115e+20,31.8997
1999-06-09,67.62484,209948425.73105,2.16901881994023e+20,31.83709
1999-06-10,65.2709,217308098.34187,2.3472005492877974e+20,31.71189
1999-06-11,62.27485,227335461.22208,2.4114865521104644e+20,31.3675
